POLE1,POLE2
1603,2022
1604,1858
1604,1951
1605,1900
1605,1904
1605,2061
1606,1961
1606,1992
1606,2051
1607,1974
1607,2053
1608,2450
1608,2532
1608,2616
1609,2355
1609,2437
1609,2594
1609,2669
1610,2453
1610,2556
1610,2609
1611,2544
1611,2545
1611,2597
1612,2466
1612,2477
1612,2590
1613,2353
1613,2404
1613,2573
1613,2607
1614,2467
1614,2508
1614,2672
1615,2357
1615,2521
1615,2581
1615,2632
1616,2383
1616,2526
1616,2542
1617,2397
1617,2444
1617,2639
1617,2676
1618,2486
1618,2515
1618,2530
1619,2395
1619,2512
1619,2533
1620,2407
1620,2449
1620,2514
1621,2528
1621,2578
1621,2670
1622,2478
1622,2596
1622,2664
1622,2684
1623,2367
1623,2490
1623,2550
1624,2391
1624,2564
1624,2588
1625,2436
1625,2461
1625,2483
1626,2396
1626,2595
1626,2645
1627,2372
1627,2539
1627,2592
1628,2375
1628,2489
1628,2568
1628,2602
1629,2511
1629,2576
1629,2587
1629,2654
1630,2366
1630,2470
1630,2507
1630,2660
1631,2445
1631,2492
1631,2506
1632,2379
1632,2546
1632,2557
1633,2427
1633,2525
1633,2612
1633,2643
1634,2352
1634,2480
1634,2510
1635,2876
1635,2944
1635,3030
1636,2734
1636,2783
1636,2887
1637,2723
1637,2741
1637,2749
1638,2869
1638,2901
1638,2929
1639,2711
1639,2717
1639,2767
1640,2725
1640,2852
1640,2909
1641,2714
1641,2720
1641,2883
1642,2701
1642,2948
1642,3033
1643,2919
1643,2965
1643,3019
1644,2820
1644,2920
1644,2935
1645,2754
1645,2933
1645,3012
1646,2737
1646,2872
1646,2941
1647,2703
1647,2813
1647,2897
1648,2706
1648,2849
1648,3054
1649,2812
1649,2898
1649,2989
1650,2778
1650,3031
1650,3037
1651,2776
1651,2964
1651,3049
1652,2709
1652,2878
1652,2912
1653,2810
1653,3021
1653,3023
1654,2712
1654,2713
1654,2747
1655,2928
1655,2977
1655,3043
1656,2738
1656,2895
1656,2899
1657,2797
1657,2969
1657,3010
1658,2748
1658,2995
1658,3035
1659,2733
1659,2743
1659,2930
1660,2729
1660,2745
1660,2834
1661,2746
1661,2980
1661,2984
1662,2735
1662,2751
1662,2829
1663,2833
1663,2975
1663,3040
1664,2838
1664,2970
1664,2985
1665,1823
1665,1827
1666,1806
1666,1839
1667,1791
1667,1800
1668,1816
1668,1824
1669,1807
1669,1830
1670,1835
1670,1838
1671,1796
1671,1798
1672,1843
1672,1846
1673,1799
1673,1814
1674,1821
1674,1840
1675,1802
